id,Response
381110,0.004887021922702158
381111,0.7738006789405506
381112,0.7577800106283623
381113,0.03289070251825446
381114,0.002159389710673623
381115,0.002226846019183485
381116,0.005451408204663276
381117,0.002128269267120181
381118,0.7983074659043715
381119,0.009317796398051342
381120,0.00620301161225701
381121,0.6169089842812798
381122,0.0017642614297823812
381123,0.7629994828113775
381124,0.6090036134473755
381125,0.004972370671119371
381126,0.580798473919552
381127,0.7215135391300415
381128,0.0026625957703688558
381129,0.004520364363284329
381130,0.0029117053514531293
381131,0.0020621961605048994
381132,0.29908238311664326
381133,0.7519195751845127
381134,0.6569172476895841
381135,0.0012006545974376109
381136,0.0016592950368625001
381137,0.004164601367008157
381138,0.005255932681582041
381139,0.0022123374588075336
381140,0.4391243663601642
381141,0.0008198886654734478
381142,0.000926568783535263
381143,0.003495483574516171
381144,0.45732962827757306
381145,0.7461459117378164
381146,0.0009872713049546653
381147,0.19793548326617258
381148,0.0033358997609791168
381149,0.0024877566050363177
381150,0.7568445855631883
381151,0.7624676439670278
381152,0.0021840218577658245
381153,0.7659189796468929
381154,0.8292021709559565
381155,0.8157454092722867
381156,0.0016286043068254625
381157,0.1359833978406295
381158,0.7579094566497023
381159,0.5886889221701339
381160,0.7595882832952334
381161,0.052680762222470735
381162,0.0015831352081417764
381163,0.7594375022107237
381164,0.0019812561129365805
381165,0.44931738358463313
381166,0.6955961989980167
381167,0.0031169667159883538
381168,0.0027666453321577656
381169,0.15669473738044146
381170,0.0019316240345920996
381171,0.0017910860918024993
381172,0.7951836248203336
381173,0.4922957490581138
381174,0.0013413102577962289
381175,0.0022711658714405602
381176,0.0013020044096363596
381177,0.7704888280624081
381178,0.6058088943532736
381179,0.020259114322205857
381180,0.08887135041462417
381181,0.0014040342500852639
381182,0.5862348341493743
381183,0.0017619026622250843
381184,0.0256830888519966
381185,0.0024975000355448827
381186,0.8131257633105342
381187,0.8409269108913949
381188,0.6536843830568954
381189,0.29444788295711927
381190,0.005082690013555226
381191,0.6133143348276701
381192,0.36876336634712154
381193,0.029355882374267304
381194,0.6253802089403202
381195,0.2908360326770778
381196,0.0018765272252841048
381197,0.14119952248939197
381198,0.6879499257978082
381199,0.8480216210738932
381200,0.0048396326814477775
381201,0.00462431017820051
381202,0.7713255203834896
381203,0.8767610179294615
381204,0.41476703025315337
381205,0.0019200966954065763
381206,0.3466728256636479
381207,0.0017407245804123951
381208,0.1825827314654568
381209,0.0017932248810472778
381210,0.6141332728617126
381211,0.000571589238664156
381212,0.7781770514083122
381213,0.7196587988773315
381214,0.6435026351751842
381215,0.35010101993190584
381216,0.3992935110522657
381217,0.003388136903400364
381218,0.7862123742391719
381219,0.519932868017403
381220,0.011556385154560948
381221,0.7308732113614074
381222,0.002997703717189032
381223,0.0025620090525191328
381224,0.36613462406569136
381225,0.8245545186108971
381226,0.7817064050196927
381227,0.7634130231629122
381228,0.18485532597533746
381229,0.6778675276451372
381230,0.0008983037124575991
381231,0.00579896886900061
381232,0.7848598356190821
381233,0.0026696631231011136
381234,0.7665823035585017
381235,0.0030574134379715277
381236,0.5275221554787918
381237,0.0026121835399519028
381238,0.0017987589728640434
381239,0.0008425481189742926
